"LTER_site","local_site","logger","date","airtemp_max","airtemp_min","airtemp_avg","Year","Month","airtemp_max_interpolated","airtemp_min_interpolated","airtemp_avg_interpolated"
"NWT","d1","cr23x",2008-01-01,-8.2,-25.79,-17.68,2008,1,-8.2,-25.79,-17.68
"NWT","d1","cr23x",2008-01-02,-0.998,-9.49,-4.705,2008,1,-0.998,-9.49,-4.705
"NWT","d1","cr23x",2008-01-03,-3.068,-7.26,-5.328,2008,1,-3.068,-7.26,-5.328
"NWT","d1","cr23x",2008-01-04,-6.992,-9.98,-8.7,2008,1,-6.992,-9.98,-8.7
"NWT","d1","cr23x",2008-01-05,-4.458,-12.78,-7.03,2008,1,-4.458,-12.78,-7.03
"NWT","d1","cr23x",2008-01-06,-8.34,-15.46,-11.3,2008,1,-8.34,-15.46,-11.3
"NWT","d1","cr23x",2008-01-07,-13.08,-18.39,-15.84,2008,1,-13.08,-18.39,-15.84
"NWT","d1","cr23x",2008-01-08,-9.57,-20.71,-15.82,2008,1,-9.57,-20.71,-15.82
"NWT","d1","cr23x",2008-01-09,-9.5,-16.82,-13.39,2008,1,-9.5,-16.82,-13.39
"NWT","d1","cr23x",2008-01-10,-13.59,-20.24,-16.81,2008,1,-13.59,-20.24,-16.81
"NWT","d1","cr23x",2008-01-11,-14.12,-16.88,-15.37,2008,1,-14.12,-16.88,-15.37
"NWT","d1","cr23x",2008-01-12,-14.23,-17.78,-16.64,2008,1,-14.23,-17.78,-16.64
"NWT","d1","cr23x",2008-01-13,-13.91,-18.04,-16.2,2008,1,-13.91,-18.04,-16.2
"NWT","d1","cr23x",2008-01-14,-7.08,-16.75,-11.69,2008,1,-7.08,-16.75,-11.69
"NWT","d1","cr23x",2008-01-15,-6.809,-23.64,-12.98,2008,1,-6.809,-23.64,-12.98
"NWT","d1","cr23x",2008-01-16,-20.73,-28.93,-25.12,2008,1,-20.73,-28.93,-25.12
"NWT","d1","cr23x",2008-01-17,-20.09,-29.36,-24.58,2008,1,-20.09,-29.36,-24.58
"NWT","d1","cr23x",2008-01-18,-13.24,-23.3,-20.92,2008,1,-13.24,-23.3,-20.92
"NWT","d1","cr23x",2008-01-19,-14.61,-23.46,-18.71,2008,1,-14.61,-23.46,-18.71
