"Year","Avg_Fleas_Samp","Avg_Flea_Obs","Proportion_ear.mite_Samp","L","N","M","NS","H","YearNum","TotalObs","PropL","PropM","PropN","PropH"
2008,0.46,NA,0.15,6,33,0,0,0,1,39,0.153846153846154,0,0.846153846153846,0
2010,0.22,0.22,0.27,8,19,2,1,0,3,29,0.275862068965517,0.0689655172413793,0.655172413793103,0
2011,1.65,1.63,0.4,8,25,7,0,3,4,43,0.186046511627907,0.162790697674419,0.581395348837209,0.0697674418604651
2012,1.57,1.89,0.52,2,11,12,1,2,5,27,0.0740740740740741,0.444444444444444,0.407407407407407,0.0740740740740741
2013,4,4.48,0.23,7,16,2,0,1,6,26,0.269230769230769,0.0769230769230769,0.615384615384615,0.0384615384615385
2014,2.96,3,0.04,4,16,1,0,1,7,22,0.181818181818182,0.0454545454545455,0.727272727272727,0.0454545454545455
2015,1.38,1.54,0.46,4,7,2,0,0,8,13,0.307692307692308,0.153846153846154,0.538461538461538,0
2016,2.21,2.29,0.11,2,16,1,3,0,9,19,0.105263157894737,0.0526315789473684,0.842105263157895,0
2017,3,3.62,0.21,5,19,1,0,0,10,25,0.2,0.04,0.76,0
2018,0.75,0.94,0.4,7,3,5,8,0,11,15,0.466666666666667,0.333333333333333,0.2,0
2019,1.43,2.21,0.24,3,16,2,0,0,12,21,0.142857142857143,0.0952380952380952,0.761904761904762,0
2020,2.45,2.93,0.39,11,16,2,1,1,13,30,0.366666666666667,0.0666666666666667,0.533333333333333,0.0333333333333333
