"LTER_site","local_site","logger","date","year","jday","airtemp_max","flag_airtemp_max","airtemp_min","flag_airtemp_min","airtemp_avg","flag_airtemp_avg","rh_max","flag_rh_max","rh_min","flag_rh_min","rh_avg","flag_rh_avg","bp_max","flag_bp_max","bp_min","flag_bp_min","bp_avg","flag_bp_avg","ws_max","flag_ws_max","ws_min","flag_ws_min","ws_avg","flag_ws_avg","wd","flag_wd","solrad_avg","flag_solrad_avg","solrad_tot","flag_solrad_tot","soiltemp_5cm_avg","flag_soiltemp_5cm_avg","soilmoist_5cm_avg","flag_soilmoist_5cm_avg","airtemp_hmp1_max","flag_airtemp_hmp1_max","airtemp_hmp1_min","flag_airtemp_hmp1_min","airtemp_hmp1_avg","flag_airtemp_hmp1_avg","airtemp_hmp2_max","flag_airtemp_hmp2_max","airtemp_hmp2_min","flag_airtemp_hmp2_min","airtemp_hmp2_avg","flag_airtemp_hmp2_avg","airtemp_hmp3_max","flag_airtemp_hmp3_max","airtemp_hmp3_min","flag_airtemp_hmp3_min","airtemp_hmp3_avg","flag_airtemp_hmp3_avg","rh_hmp1_max","flag_rh_hmp1_max","rh_hmp1_min","flag_rh_hmp1_min","rh_hmp1_avg","flag_rh_hmp1_avg","rh_hmp2_max","flag_rh_hmp2_max","rh_hmp2_min","flag_rh_hmp2_min","rh_hmp2_avg","flag_rh_hmp2_avg","rh_hmp3_max","flag_rh_hmp3_max","rh_hmp3_min","flag_rh_hmp3_min","rh_hmp3_avg","flag_rh_hmp3_avg"
"NWT","d1","cr23x",2000-07-05,2000,187,14.83,"n",6.783,"n",10.03,"n",83.3,"n",14.4,"n",40.33,"n",652.5,"n",650.4,"n",651.6,"n",14.43,"n",0.039,"n",NaN,"n",1.862,"n",NaN,"n",26.52,"n",8.58,"n",0.236,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-06,2000,188,18.86,"n",8.01,"n",12.34,"n",66.44,"n",21.21,"n",32.64,"n",652.9,"n",650.3,"n",652,"n",17.76,"n",0.039,"n",NaN,"n",1.441,"n",NaN,"n",29.05,"n",9.3,"n",0.222,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-07,2000,189,17.06,"n",7.94,"n",11.88,"n",64.47,"n",25.13,"n",39.49,"n",653.5,"n",651.7,"n",652.7,"n",11.05,"n",0.02,"n",NaN,"n",0.942,"n",NaN,"n",19.78,"n",9.55,"n",0.211,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-08,2000,190,16.59,"n",5.504,"n",9.98,"n",100,"n",35,"n",59.61,"n",653.7,"n",651.5,"n",652.6,"n",17.23,"n",0.333,"n",NaN,"n",1.74,"n",NaN,"n",23.06,"n",9.4,"n",0.203,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-09,2000,191,14.2,"n",4.882,"n",7.98,"n",100,"n",49.95,"n",80.7,"n",652.6,"n",649.5,"n",651.3,"n",23.89,"n",0,"n",NaN,"n",2.344,"n",NaN,"n",27.11,"n",8.71,"n",0.205,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-10,2000,192,15.22,"n",8.28,"n",11.34,"n",89.1,"n",44.87,"n",61.22,"n",653.2,"n",651.3,"n",652.3,"n",15.92,"n",0,"n",5.588,"n",269.6,"n",NaN,"n",24.34,"n",10.6,"n",0.23,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-11,2000,193,15.24,"n",6.583,"n",10.12,"n",81.5,"n",34.72,"n",61.38,"n",655.9,"n",651.8,"n",654.2,"n",18.13,"n",0,"n",5.984,"n",250.6,"n",NaN,"n",28.35,"n",10.04,"n",0.227,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-12,2000,194,16,"n",7.09,"n",10.23,"n",92.4,"n",37.59,"n",64.12,"n",657.5,"n",654.8,"n",656.3,"n",12.19,"n",0,"n",3.79,"n",200.8,"n",NaN,"n",16.88,"n",9.3,"n",0.218,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-13,2000,195,15.13,"n",8.01,"n",10.76,"n",79.3,"n",37.22,"n",58.79,"n",658.2,"n",656.2,"n",657.2,"n",9.7,"n",0.039,"n",3.45,"n",219.8,"n",NaN,"n",18.04,"n",9,"n",0.212,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-14,2000,196,17.87,"n",9.14,"n",12.36,"n",63.89,"n",32.24,"n",52.35,"n",657.3,"n",655.2,"n",656.5,"n",11.07,"n",0,"n",2.673,"n",153.4,"n",NaN,"n",20.62,"n",9.76,"n",0.204,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
